斥/岿/老,辆啊,措厚,芭贰樊(林),扁包_概荐樊(林),扁包_概档樊(林),扁包_鉴概荐(林),寇惫牢_概荐樊(林),寇惫牢_概档樊(林),寇惫牢_鉴概荐(林),辆格内靛,辆格疙,isu_cd
2001/12/28,12700.0,1200.0,266420,34170,10,34160,300,0,300,000060,皋府明拳犁,KR7000060004
2001/12/27,11500.0,650.0,197990,34400,9050,25350,0,0,0,000060,皋府明拳犁,KR7000060004
2001/12/26,10850.0,150.0,134380,0,20990,-20990,0,0,0,000060,皋府明拳犁,KR7000060004
2001/12/24,10700.0,-100.0,104500,0,3500,-3500,0,0,0,000060,皋府明拳犁,KR7000060004
2001/12/21,10800.0,-300.0,305190,50000,2540,47460,1000,0,1000,000060,皋府明拳犁,KR7000060004
2001/12/20,11100.0,1320.0,436160,7500,37680,-30180,4200,0,4200,000060,皋府明拳犁,KR7000060004
2001/12/19,9780.0,-220.0,101530,0,10,-10,0,0,0,000060,皋府明拳犁,KR7000060004
2001/12/18,10000.0,-350.0,145190,43000,340,42660,0,0,0,000060,皋府明拳犁,KR7000060004
2001/12/17,10350.0,-850.0,170490,39080,5000,34080,0,0,0,000060,皋府明拳犁,KR7000060004
2001/12/14,11200.0,900.0,377820,96850,8540,88310,32000,0,32000,000060,皋府明拳犁,KR7000060004
2001/12/13,10300.0,850.0,286520,47160,26600,20560,0,0,0,000060,皋府明拳犁,KR7000060004
2001/12/12,9450.0,100.0,100780,16890,3050,13840,0,0,0,000060,皋府明拳犁,KR7000060004
2001/12/11,9350.0,-250.0,132900,0,18920,-18920,0,0,0,000060,皋府明拳犁,KR7000060004
2001/12/10,9600.0,-400.0,338770,76260,8740,67520,0,120000,-120000,000060,皋府明拳犁,KR7000060004
2001/12/07,10000.0,100.0,306290,164190,67650,96540,0,0,0,000060,皋府明拳犁,KR7000060004
2001/12/06,9900.0,200.0,415880,121490,1500,119990,0,0,0,000060,皋府明拳犁,KR7000060004
2001/12/05,9700.0,600.0,313780,122580,20010,102570,0,0,0,000060,皋府明拳犁,KR7000060004
2001/12/04,9100.0,-200.0,331010,31500,10,31490,50000,0,50000,000060,皋府明拳犁,KR7000060004
2001/12/03,9300.0,950.0,337030,10500,0,10500,55000,30,54970,000060,皋府明拳犁,KR7000060004
2001/11/30,8350.0,150.0,204960,10500,23020,-12520,65000,0,65000,000060,皋府明拳犁,KR7000060004
2001/11/29,8200.0,740.0,241550,0,10,-10,40,0,40,000060,皋府明拳犁,KR7000060004
2001/11/28,7460.0,-860.0,147540,5000,4000,1000,10000,0,10000,000060,皋府明拳犁,KR7000060004
2001/11/27,8320.0,-330.0,232940,48860,55730,-6870,0,0,0,000060,皋府明拳犁,KR7000060004
2001/11/26,8650.0,750.0,449190,0,25020,-25020,0,0,0,000060,皋府明拳犁,KR7000060004
2001/11/23,7900.0,400.0,308450,5000,7000,-2000,0,0,0,000060,皋府明拳犁,KR7000060004
2001/11/22,7500.0,300.0,126700,0,5000,-5000,0,0,0,000060,皋府明拳犁,KR7000060004
2001/11/21,7200.0,0.0,112780,15000,20000,-5000,0,0,0,000060,皋府明拳犁,KR7000060004
2001/11/20,7200.0,-50.0,176430,0,9010,-9010,0,0,0,000060,皋府明拳犁,KR7000060004
2001/11/19,7250.0,750.0,273060,0,0,0,0,0,0,000060,皋府明拳犁,KR7000060004
2001/11/16,6500.0,0.0,57070,0,3950,-3950,0,0,0,000060,皋府明拳犁,KR7000060004
2001/11/15,6500.0,-230.0,61330,0,10,-10,0,0,0,000060,皋府明拳犁,KR7000060004
2001/11/14,6730.0,50.0,150320,0,50000,-50000,0,0,0,000060,皋府明拳犁,KR7000060004
2001/11/13,6680.0,-20.0,48460,0,50,-50,0,0,0,000060,皋府明拳犁,KR7000060004
2001/11/12,6700.0,250.0,73990,0,0,0,0,0,0,000060,皋府明拳犁,KR7000060004
2001/11/09,6450.0,-100.0,61020,0,5010,-5010,0,0,0,000060,皋府明拳犁,KR7000060004
2001/11/08,6550.0,-190.0,121250,0,50000,-50000,0,150,-150,000060,皋府明拳犁,KR7000060004
2001/11/07,6740.0,-110.0,63750,0,5490,-5490,0,0,0,000060,皋府明拳犁,KR7000060004
2001/11/06,6850.0,150.0,107180,0,17770,-17770,0,0,0,000060,皋府明拳犁,KR7000060004
2001/11/05,6700.0,180.0,66650,0,10000,-10000,0,0,0,000060,皋府明拳犁,KR7000060004
2001/11/02,6520.0,-10.0,180720,290,4280,-3990,0,0,0,000060,皋府明拳犁,KR7000060004
2001/11/01,6530.0,650.0,336060,0,17030,-17030,0,0,0,000060,皋府明拳犁,KR7000060004
2001/10/31,5880.0,60.0,68120,0,5000,-5000,0,0,0,000060,皋府明拳犁,KR7000060004
2001/10/30,5820.0,-80.0,48010,0,0,0,0,0,0,000060,皋府明拳犁,KR7000060004
